,Before,After
12048,benr2,benar benar
12049,benar2dpt,benar benar dapat
12050,bener2nye,benar benarnya
12051,benerannya,benarannya
12052,benerin,benarkan
12053,benerkan,benarkan
12054,benerpun,benarpun
12055,benc,bench
12056,bencii,benci
12057,bencoonngg,bencong
12058,bengad,bengal
12059,bennett,bennet
12060,bencar,bentar
12061,bentukny,bentuknya
12062,benzen,benzena
12063,berabtad,berabad
12064,berabad2,beradad abad
12065,bernamimah,beradu domba
12066,berafliasi,berafiliasi
12067,beraqidah,berakidah
12068,beraktifitas,beraktivitas
12069,beraan,beran
12070,beranitraveling,berani jalan jalan
12071,berpa,berapa
12072,bearti,berarti
12073,berashitam,beras hitam
12074,berpunca,berasal
12075,beratt,berat
12076,beratus2,beratus ratus
12077,berbahay,berbahaya
12078,belibet,berbelit
12079,berbhinneka,berbineka
12080,bebisik,berbisik
12081,berbondong2,berbondong bondong
12082,berbudaye,berbudaya
12083,bcahaya,bercahaya
12084,becakap,bercakap
12085,becandaan,bercandaan
12086,becandain,bercandai
12087,bercita2,bercita cita
12088,berdialogis,berdialog
12089,berendem,berendam
12090,beress,beres
12091,beberes,beres beres
12092,beres2,beres beres
12093,berghibah,bergibah
12094,bergiziah,bergizi
12095,berguman,bergumam
12096,berharab,berharap
12097,berhatap,berharap
12098,berhati2,berhati hati
12099,berhnti,berhenti
12100,berhub,berhubung
12101,berhbgan,berhubungan
12102,beriya2,beria ria
12103,beribadat,beribadah
12104,beribu2,beribu ribu
12105,berikht,berikut
12106,berikutnye,berikutnya
12107,beiringan,beriringan
12108,beresiko,berisiko
12109,berit,berita
12110,berite,berita
12111,berita2,berita berita
12112,beritadunia,berita dunia
12113,beritaekonomi,berita ekonomi
12114,beritaislam,berita islam
12115,beritasatu,berita satu
12116,beritasonora,berita sonora
12117,beritaÃ¢Â terbaru,berita terbaru
12118,beritaterhangat,berita terhangat
12119,bejanggut,berjanggut
12120,berjamaah,berjemaah
12121,berjamaahcoblospecinya,berjemaah coblos pecinya
12122,berjamaahnya,berjemaahnya
12123,berjilid2,berjilid jilid
12124,berkahna,berkahnya
12125,berkainÃ¢,berkain
12126,berkali2,berkali kali
12127,berkharisma,berkarisma
12128,berstatement,berkata
12129,berkepntingan,berkepentingan
12130,berkesinabungan,berkesinambungan
12131,berkoar2,berkoar koar
12132,berkualiti,berkualitas
12133,bekuasa,berkuasa
12134,berlapis2,berlapis lapis
12135,belarut,berlarut
12136,belepotan,berlepotan
12137,berlomba2,berlomba lomba
12138,bermaksiyat,bermaksiat
12139,bermnfaat,bermanfaat
12140,berminggu2,berminggu minggu
12141,bernada2,bernada nada
12142,banagari,bernegara
12143,bereukumene,beroikumene
12144,beepegang,berpegang
12145,berperngaruh,berpengaruh
12146,berparti,berpesta
12147,berfikirnya,berpikirnya
12148,bersm,bersama
12149,bersamaÃ¢Â erdogan,bersama erdogan
12150,bersama2,bersama sama
12151,bersamabn,bersamaan
12152,bersebrangan,berseberangan
12153,berseri2,berseri seri
12154,bersihin,bersihkan
12155,bersilaturrahmi,bersilaturahmi
12156,bersosmed,bersosial media
12157,bersukur,bersyukur
12158,bertaun,bertahun
12159,bertahun2,bertahun tahun
12160,bertanggungjawab,bertanggung jawab
12161,bertelor,bertelur
12162,bertemen,berteman
12163,bertentagan,bertentangan
12164,berteriak2,berteriak teriak
12165,bertaubat,bertobat
12166,bertubi2,bertubi tubi
12167,bertuhandijalanan,bertuhan di jalanan
12168,berturut2,berturut turut
12169,berub,berubah
12170,bejo,beruntung
12171,balga,besar
12172,bbeuh,beuh
12173,beh,beuh
12174,baidab,biadab
12175,bcranya,bicaranya
12176,beer,bir
12177,belangsak,blangsak
12178,bcr,bocor
12179,bahong,bohong
12180,bbual,bual
12181,bdk,budak
12182,bdaya,budaya
12183,bdya,budaya
12184,bajet,budget
12185,beautiful,cantik
12186,beauty,cantik
12187,balatak,kotor
12188,bayanginnya,membayanginya
12189,bataknese,orang batak
12190,basically,pada dasarnya
12191,banterin,percepat
12192,bebs,sayang
12193,before,sebelum
12194,because,soalnya
12195,btp,ahok
12196,buablas,bablas
12197,bkipm,badan karantina ikan pengendalian mutu dan keamanan hasil perikanan
12198,bnn,badan narkotika nasional
12199,bnpt,badan nasional penanggulangan terorisme
12200,bnp2tki,badan nasional penempatan dan perlindungan tenaga kerja indonesia
12201,bnptki,badan nasional penempatan dan perlindungan tenaga kerja indonesia
12202,bpip,badan pembinaan ideologi pancasila
12203,bpom,badan pengawas obat dan makanan
12204,bpjs,badan penyelenggara jaminan sosial
12205,bpd,badan permusyawaratan desa
12206,bps,badan pusat statistik
12207,brsdmbermitra,badan riset dan sumber daya manusia kelautan dan perikanan bermitra
12208,bsn,badan standarisasi nasional
12209,bumdes,badan usaha milik desa
12210,bumdesmendunia,badan usaha milik desa mendunia
12211,bumn,badan usaha milik negara
12212,bijimana,bagaimana
12213,bgian,bagian
12214,bgusan,bagusan
12215,bhya,bahaya
12216,buajingan,bajingan
12217,bkalan,bakalan
12218,bp3tki,balai pelayanan penempatan dan perlindungan tenaga kerja indonesia
12219,blsin,balaskan
12220,bnd,band
12221,bijb,bandara internasional jawa barat
12222,bgts,banget
12223,bgtxx,banget
12224,bigtits,banget
12225,bwangeeuut,banget
12226,bgsa,bangsa
12227,bngs,bangsa
12228,bgsd,bangsat
12229,bgstt,bangsat
12230,bngsat,bangsat
12231,bngst,bangsat
12232,bnajarmasin,banjarmasin
12233,bni,bank negara indonesia
12234,bri,bank rakyat indonesia
12235,brisyariah,bank rakyat indonesia syariah
12236,blt,bantuan langsung tunai
12237,blbi,bantuan likuiditas bank indonesia
12238,buanyak,banyak
12239,bnyakn,banyakan
12240,bpknyalah,bapaknyalah
12241,brng,barang
12242,brgkali,barangkali
12243,betmen,batman
12244,bouksid,bauksit
12245,bwang,bawang
12246,besmart,be smart
12247,bsbi2018,beasiswa seni dan budaya indonesia 2018
12248,beza,beda
12249,bgittu,begitu
12250,bgthu,begitu
12251,bigitu,begitu
12252,blegitu,begitu
12253,bwgitu,begitu
12254,blkgnya,belakangnya
12255,blang,belang
12256,blatung,belatung
12257,bulepotan,belepotan
12258,brli,beli
12259,bloonnya,beloonnya
12260,bwos,beos
12261,brangkt,berangkat
12262,brngkat,berangkat
12263,brni,berani
12264,braninya,beraninya
12265,brati,berarti
12266,brti,berarti
12267,brasal,berasal
12268,brbagai,berbagai
12269,brbeda,berbeda
12270,brdekatan,berdekatan
12271,brdoa,berdoa
12272,brengset,berengsek
12273,brngsekk,berengsek
12274,brngsk,berengsek
12275,brengseknya,berengseknya
12276,bewokan,berewokan
12277,brewokan,berewokan
12278,brharga,berharga
12279,bhasil,berhasil
12280,brent,berhenti
12281,brnti,berhenti
12282,brisek,berisik
12283,briziek,berisik
12284,brkata,berkata
12285,brkedok,berkedok
12286,classy,berkelas
12287,chatan,berkirim chat
12288,brkoalisi,berkoalisi
12289,brkuasa,berkuasa
12290,branded,bermerek
12291,brniat,berniat
12292,brondong,berondong
12293,brondonglokal,berondong lokal
12294,brfikir,berpikir
12295,brpkir,berpikir
12296,brtahun,bertahun
12297,brtemu,bertemu
12298,brtopeng,bertopeng
12299,betopi,bertopi
12300,beurang,beruang
12301,berulang2,berulang ulang
12302,brunsur,berunsur
12303,brupaya,berupaya
12304,beurat,berurat
12305,brushalah,berusahalah
12306,brwajah,berwajah
12307,besarr,besar
12308,big,besar
12309,bssar,besar
12310,besarx,besarnya
12311,bsrta,beserta
12312,besok2,besok besok
12313,besok2nya,besok besoknya
12314,bff,best friend forever
12315,betoi,betul
12316,betol,betul
12317,betoll,betul
12318,betui,betul
12319,betull,betul
12320,betullah,betul
12321,botul,betul
12322,betol2,betul betul
12323,beyondthebandungspirit,beyond the bandung spirit
12324,bhabinkamtibmas,bhayangkara pembina keamanan dan ketertiban masyarakat
12325,biadaa,biadab
12326,biadap,biadab
12327,biangnya,biangnya
12328,biased,bias
12329,biasain,biasakan
12330,biasay,biasanya
12331,bicarapolitik,bicara politik
12332,bicarain,bicarakan
12333,bigfloo,bigflo
12334,bijakberpendapat,bijak berpendapat
12335,bikini2,bikini bikini
12336,bikhsu,biksu
12337,bile,bila
12338,bilank,bilang
12339,blgnya,bilangnya
12340,bimas,bima
12341,binadamai,bina damai
12342,binluh,binaan dan penyuluhan
12343,binmas,binaan masyarakat
12344,binatang2,binatang binatang
12345,bhineka,bineka
12346,bhinekais,bineka
12347,biruadanya,biru adanya
12348,biru2,biru biru
12349,bismaniac,bis maniak
12350,bisa2,bisa bisa
12351,bisa2nya,bisa bisanya
12352,bisaÃ¢Â mematikan,bisa mematikan
12353,bisex,bisexual
12354,bismillahirrohmannirohhim,bismillahirrahmanirrahim
12355,blaa,bla
12356,bla2,bla bla
12357,blabla,bla bla
12358,blablabla,bla bla bla
12359,blackbuttler,black buttler
12360,blejetin,blejeti
12361,block,blok
12362,block2,blok blok
12363,blocked,blokir
12364,blondecum,blonde cum
12365,blusukanahok,blusukan ahok
12366,bmÃ¢,bm
12367,bocahh,bocah
12368,bocah2,bocah bocah
12369,bocil,bocah cilik
12370,borot,bocor
12371,boloho,bodoh
12372,bodoh2in,bodoh bodohi
12373,bodohie,bodohi
12374,bodong2an,bodong bodongan
12375,bmi,body mass index
12376,boongan,bohongan
12377,bohongin,bohongi
12378,boongin,bohongi
12379,boikotindosat,boikot indosat
12380,boycottisrael,boikot israel
12381,boikotprodukchina,boikot produk cina
12382,bokef,bokep
12383,bokepabg,bokep anak baru gede
12384,bokepasia,bokep asia
12385,bokepasian,bokep asia
12386,bokepbarat,bokep barat
12387,bokepgratis,bokep gratis
12388,bokephot,bokep hot
12389,bokepindo,bokep indo
12390,bokeponline,bokep online
12391,bokepsma,bokep sma
12392,bokepterb,bokep terbaru
12393,buleh,boleh
12394,bolong2,bolong bolong
12395,bill,bon
12396,bongsay,bonsai
12397,boking,booking
12398,borax,boraks
12399,btob,born to beat
12400,bosq,bosku
12401,bosque,bosku
12402,bosnyo,bosnya
12403,botzidancreative,bot zidan creative
12404,bny,bothnewyear
12405,botolkosong,botol kosong
12406,bovendigul,boven digoel
12407,brÃ°,bra
12408,bravohasanah,bravo hasanah
12409,bravopolri,bravo kepolisian republik indonesia
12410,breakingnewssektorriil,breaking news sektor riil
12411,breathe,breath
12412,brimob,brigade mobil
12413,brumob,brigade mobil
12414,brigpol,brigadir polisi
12415,bripka,brigadir polisi kepala
12416,brightside,bright side
12417,brillian,brilian
12418,br1m,brim
12419,bray,bro
12420,broo,bro
12421,brooh,bro
12422,browh,bro
12423,bry,bro
12424,brosing,browsing
12425,brussels,brussel
12426,bpi,bsm pembayaran instusi
12427,busukmawati,bu sukmawati
12428,buah2an,buah buahan
12429,buang2,buang buang
12430,buangtabiat,buang tabiat
12431,buwat,buat
12432,buat2,buat buat
12433,bikinan,buatan
12434,bikinnya,buatannya
12435,bubarkandpr,bubarkan dewan perwakilan rakyat
12436,bubarkangmbi,bubarkan gerakan masyarakat bawah indonesia
12437,bubarkanpks,bubarkan partai keadilan sejahtera
12438,burjo,bubur kacang ijo
12439,budak2,budak budak
12440,budak2nya,budak budaknya
12441,bucinnya,budak cintanya
12442,budayaÃ¢,budaya
12443,budayaÃ°,budaya
12444,budayaÃ¢Â pancasila,budaya pancasila
12445,budha,buddha
12446,budhaisme,buddhaisme
12447,budeh,bude
12448,budeg,budek
12449,budisepang,budi sepang
12450,budugan,budukan
12451,buhaerah,buhaira
12452,buihh,buih
12453,bukber,buka bersama
12454,bikan,bukan
12455,bukann,bukan
12456,bukhan,bukan
12457,bukan2,bukan bukan
12458,bukanbukan,bukan bukan
12459,bukansamawi,bukan samawi
12460,bknlah,bukanlah
12461,buktik,bukti
12462,buktikn,buktikan
12463,buuktikan,buktikan
12464,buku2,buku buku
12465,bukugpu,buku gpu
12466,bulaann,bulan
12467,bulanbaktikipm2018,bulan bakti kipm 2018
12468,buli,bully
12469,blukk,buluk
12470,buluq,buluk
12471,bumbuin,bumbui
12472,buminusantara,bumi nusantara
12473,bundokandung,bunda kandung
12474,bungkarno,bung karno
12475,bunggus,bungkus
12476,bundir,bunuh diri
12477,bunyi2,bunyi bunyi
12478,buraq,burak
12479,buroq,burak
12480,buritt,burit
12481,burqa,burka
12482,buru2,buru buru
12483,burukÃ¢,buruk
12484,birds,burung
12485,busa2,busa busa
12486,buseet,buset
12487,bosok,busuk
12488,busukk,busuk
12489,busuk2,busuk busuk
12490,butuhan,butuhkan
12491,cabecabeaan,cabe cabean
12492,cabutnobelsuukyi,cabut nobel suu kyi
12493,cacad,cacat
12494,ccd,cacat
12495,ceced,cacat
12496,cacimaki,caci maki
12497,cagarÃ¢Â budaya,cagar budaya
12498,cakimin,cak imin
12499,cakiminthenextwapres,cak imin the next wakil presiden
12500,cakiminthenextwaprescak,cak imin the next wakil presiden cak
12501,cakep2,cakap cakap
12502,cagub,calon gubernur
12503,cakada,calon kepala daerah
12504,caleg,calon legislatif
12505,capres,calon presiden
12506,capresgoblok,calon presiden goblok
12507,capresrakyat,calon presiden rakyat
12508,capresnya,calon presidennya
12509,cawagub,calon wakil gubernur
12510,cawgub,calon wakil gubernur
12511,cawapres,calon wakil presiden
12512,cawapres2019,calon wakil presiden 2019
12513,cawapresnya,calon wakil presidennya
12514,calonwalikotabandung,calon wali kota bandung
12515,calonwalikotabandung2018,calon wali kota bandung 2018
12516,calonin,calonkan
12517,cemilan,camilan
12518,cemilanku,camilanku
12519,cemilannya,camilannya
12520,campur2,campur campur
12521,cantuk,cantik
12522,capeq,capai
12523,cape2,capai capai
12524,capeknya,capainya
12525,capenya,capainya
12526,cfd,car free day
12527,cara2,cara cara
12528,charanya,caranya
12529,capernya,cari perhatiannya
12530,carsen,cari sensasi
12531,catetan,catatan
12532,bongg,cebong
12533,cebon,cebong
12534,cebonk,cebong
12535,cebong2,cebong cebong
12536,bong200,cebong iq dua ratus
12537,cebongkoplo,cebong koplo
12538,cebongers,cebonger
12539,ceburin,ceburkan
12540,cecungung,cecunguk
12541,cegan,cegah
12542,cengkraman,cengkeraman
12543,cept,cepat
12544,cepet2an,cepat cepatan
12545,cepetin,cepatkan
12546,cepetlah,cepatlah
12547,cepusupriyanto,cepu supriyanto
12548,cerita2,cerita cerita
12549,ceritadewasa,cerita dewasa
12550,ceritain,ceritakan
12551,ceritany,ceritanya
12552,cecann,cewek cantik
12553,cewe2,cewek cewek
12554,cewek2,cewek cewek
12555,cewekseksi,cewek seksi
12556,cewenya,ceweknya
12557,chaink,chain
12558,ch,chapter
12559,chaarrmm,charm
12560,chatsex,chat sex
12561,celsi,chelsea
12562,choicefandom,choice fandom
12563,chouji,choji
12564,choper,chopper
12565,chubbyguy,chubby guy
12566,ciamisasyik,ciamis asyik
12567,cihh,cih
12568,ciy,cih
12569,ciletuhÃ¢Â palabuhanratu,ciletuh pelabuhan ratu
12570,cimohay,cimahi
12571,china,cina
12572,chinese,cina
12573,cina2,cina cina
12574,cino2,cina cina
12575,chinese2nya,cina cinanya
12576,cipkon,cipokan
12577,cirebonseni,cirebon seni
12578,ciri2,ciri ciri
12579,ciribkhas,ciri khas
12580,cita2nya,cita citanya
12581,citanya,citanya
12582,cnnindonesia,cnn indonesia
12583,cnnidbusiness,cnn indonesian business
12584,cnnidnewsroom,cnn indonesian news room
12585,cobaak,coba
12586,coba2,coba coba
12587,cocok2,cocok cocok
12588,cocoklogi,cocokologi
12589,cocotnx,cocotnya
12590,coffe,coffee
12591,cokiadem86,coki adem 86
12592,colmek,colok memek
12593,colokmemek,colok memek
12594,colokkan,colokan
12595,comando,commando
12596,cogant,cowok ganteng
12597,brainwash,cuci otak
12598,cikai,cukai
12599,blacklist,daftar hitam
12600,cedak,dekat
12601,bibib,habib
12602,bhahahaha,haha
12603,bhahahahahahaa,haha
12604,bhahahahak,haha
12605,bhuakakakaka,haha
12606,brahahahaa,haha
12607,buahahaha,haha
12608,buuwhaha,haha
12609,bwahaha,haha
12610,bwahahahhahha,haha
12611,bwahahhahaha,haha
12612,buntingnya,hamilnya
12613,bondo,harta
12614,bzz,hem
12615,bible,injil
12616,bininya,istrinya
12617,ciah,jiah
12618,calculus,kalkulus
12619,campaign,kampanye
12620,campus,kampus
12621,campuss,kampus
12622,bikos,karena
12623,cillik,kecil
12624,claim,klaim
12625,clasic,klasik
12626,comment,komen
12627,camtu,macam itu
12628,blendung,melendung
12629,cengkudu,mengkudu
12630,brand,merek
12631,brandnya,mereknya
12632,bilion,miliar
12633,bodat,monyet
12634,coach,pelatih
12635,blas,sama sekali
12636,blass,sama sekali
12637,cageur,sehat
12638,cembilan,sembilan
12639,centra2,sentra sentra
12640,cepi,sepi
12641,cetan,setan
12642,cekcih,sexy
12643,cipp,sip
12644,cipiit,sipit
12645,beye,susilo bambang yudhoyono
12646,beuh,weh
12647,beuhh,weh
12648,boakaka,wkwk
12649,brekekekekek,wkwk
12650,brekekekekekek,wkwk
12651,bruakakakak,wkwk
12652,ckakakakak,wkwk
12653,ckckc,wkwk
12654,ckckck,wkwk
12655,ckckckck,wkwk
12656,dedeq,adik
12657,debaynya,adik bayinya
12658,densus,betasemen khusus
12659,cpns,calon pegawai negeri sipil
12660,cramah,ceramah
12661,crita,cerita
12662,crta,cerita
12663,critanya,ceritanya
12664,cyduk,ciduk
12665,cuih,cih
12666,cuihh,cih
12667,cuyih,cih
12668,cuihwoosoeokjung,cih wooseok jung
12669,cyinta,cinta
12670,cyn,cinta
12671,comunity,community
12672,congornyapecah,congornya pecah
12673,congrat,congratulation
12674,congratulationsgeoparkciletuh,congratulations geopark ciletuh
12675,conth,contoh
12676,contoilah,contohilah
12677,copotkapoldajabar,copot kepala polisi daerah jawa barat
12678,copas,copy paste
12679,cowo2,cowok cowok
12680,cowok2,cowok cowok
12681,cowonya,cowoknya
12682,cuuyy,coy
12683,cuy,coy
12684,cpugg,cpu gg
12685,cringey,cringe
12686,cr,cristiano ronaldo
12687,cr7,cristiano ronaldo
12688,croot,crot
12689,croott,crot
12690,crott,crot
12691,cruz,crush
12692,cuap2,cuap cuap
12693,cuapcuap,cuap cuap
12694,cuwit,cuit
12695,cuit2,cuit cuit
12696,cukk,cuk
12697,cukop,cukup
12698,cukupsatuperiode,cukup satu periode
12699,cume,Cuma
12700,cumabercandagaiss,cuma bercanda guys
12701,cumi2,cumi cumi
12702,cupuu,cupu
12703,curut2,curut curut
12704,cutepasutri,cute pasangat suami istri
12705,cyberarmy,cyber army
12706,daddies,daddy
12707,daerahÃ¢,daerah
12708,daerah2,daerah daerah
12709,daerahdki,daerah jakarta
12710,dapil,daerah pemilihan
12711,dapil1,daerah pemilihan
12712,daghh,dah
12713,dhla,dahlan
12714,dahsyat2,dahsyat dahsyat
12715,dahulukanrakyat,dahulukan rakyat
12716,dalm,dalam
12717,daleman,dalaman
12718,dalemnya,dalamnya
12719,dalang2nya,dalang dalangnya
12720,damaidaricirebon,damai dari cirebon
12721,danÃ¢,dan
12722,danhatikecilkubicara,dan hati kecilku bicara
12723,danainvestorasing,dana investor asing
12724,danÃ¢Â sosial,dana sosial
12725,danÃ¢Â wajah,dana wajah
12726,danain,danai
12727,dananyo,dananya
12728,danibawa,dani bawa
12729,dapurr,dapur
12730,darimana,dari mana
12731,darimna,dari mana
12732,daritadi,dari tadi
12733,darkside,dark side
12734,dharma,darma
12735,dharna,darma
12736,darulaman,darul aman
12737,daruratdemokrasi,darurat demokrasi
12738,daruratduniaperadilanindonesia,darurat dunia peradilan indonesia
12739,daruratpki,darurat partai komunis indonesia
12740,dasarr,dasar
12741,dasr,dasar
12742,dasadasar,dasar dasar
12743,data2,data data
12744,dfd,data flow diagram
12745,datangg,datang
12746,datoÃ¢,datu
12747,day6,day 6
12748,daiyaku,dayaku
12749,dbodohi,dbodohi
12750,deathnote,death note
12751,debad,debat
12752,debatfinalpilkadajkt,debat final pemilihan kepala daerah jakarta
12753,difensif,defensif
12754,dgan,degan
12755,dekalarasi,deklarasi
12756,delici,delicious
12757,deliveringhappiness,delivering happiness
12758,demoo,demo
12759,demo2,demo demo
12760,democra,demokrasi
12761,demokrasiÃ¢,demokrasi
12762,denga,dengan
12763,denngan,dengan
12764,dgnya,dengannya
12765,denger2,dengar dengar
12766,dengernya,dengarnya
12767,depkes,departemen kesehatan
12768,desa2,desa desa
12769,detik2,detik detik
12770,detik2terahir,detik detik terakhir
12771,debatfinaldki,devat final daerah khusus ibukota
12772,diatas,di atas
12773,diawal,di awal
12774,dibandara,di bandara
12775,dibank,di bank
12776,dibatas,di batas
12777,dibawah,di bawah
12778,dibelakang,di belakang
12779,diblkg,di belakang
12780,dbogor,di bogor
12781,dibui,di bui
12782,dibumi,di bumi
12783,dicomberan,di comberan
12784,didaerah,di daerah
12785,didaerah2,di daerah daerah
12786,didalam,di dalam
12787,didlm,di dalam
12788,didanau,di danau
12789,didarat,di darat
12790,didepan,di depan
12791,didragon,di dragon
12792,didunia,di dunia
12793,didumay,di dunia maya
12794,diera,di era
12795,digarasi,di garasi
12796,digereja,di gereja
12797,dihalaman,di halaman
12798,dihalte,di halte
12799,dihatiku,di hatiku
12800,dihutan,di hutan
12801,diindonesia,di indonesia
12802,dijakarta,di jakarta
12803,dijalan,di jalan
12804,dijidat,di jidat
12805,dikamar,di kamar
12806,dikampung,di kampung
12807,dikantor,di kantor
12808,dikarang,di karang
12809,dikasus,di kasus
12810,dikedua,di kedua
12811,dikoter,di kelompok terbang
12812,dikolam,di kolam
12813,dikolong,di kolong
12814,dikotak,di kotak
12815,diÃ¢Â tmii,di taman mini indonesia indah
12816,dijaman,di zaman
12817,die2,dia dia
12818,diakuin,diakui
12819,dialog2,dialog dialog
12820,diam2,diam diam
12821,diem2an,diam diaman
12822,diamlo,diam lu
12823,diemlu,diam lu
12824,diamanin,diamankan
12825,diancem,diancam
12826,dianggsp,dianggap
12827,dantaranya,diantaranya
12828,dbhas,dibahas
12829,dibales,dibalas
12830,dibnding,dibanding
12831,dibangga2kan,dibangga banggakan
12832,dibangkitin,dibangkitkan
12833,dibangunin,dibangunkan
12834,dibatalin,dibatalkan
12835,dibayarin,dibayari
12836,dibecandain,dibecandai
12837,dibelain,dibela
12838,dibelanje,dibelanja
12839,dibeliin,dibelikan
12840,dibenerin,dibenarkan
12841,diberanguss,diberangus
12842,dibercandain,dibercandai
12843,diberhentiin,diberhentikan
12844,diberitain,diberitakan
12845,dbsk,dibesuk
12846,dibicarain,dibicarakan
12847,dbilang,dibilang
12848,diblng,dibilang
12849,dibilangin,dibilangi
12850,dibimbin,dibimbing
12851,diblock,diblok
12852,dibocorin,dibocorkan
12853,dibodo,dibodohi
12854,dibodoh,dibodohi
12855,diapusi,dibohongi
12856,dibikin,dibuat
12857,dibikinin,dibuatkan
12858,dibikinkan,dibuatkan
12859,dibubari,dibubarkan
12860,dibubarin,dibubarkan
12861,dibucinin,dibudakcintakan
12862,dibunderi,dibundari
12863,dbunuh,dibunuh
12864,dibutuhkn,dibutuhkan
12865,dicapreskan,dicalonpresidenkan
12866,dicarin,dicari
12867,dicekel,dicekal
12868,dicemburuin,dicemburui
12869,dicengkram,dicengkeram
12870,dicepetin,dicepatkan
12871,diceramahin,dicerahami
12872,diceritain,diceritakan
12873,diciumin,diciumi
12874,dicroottin,dicrotin
12875,dicrotin,dicrotin
12876,ddahului,didahului
12877,didlmnya,didalamnya
12878,didpt,didapat
12879,didptkn,didapatkan
12880,didasrkan,didasarkan
12881,didudukin,diduduki
12882,dduga,diduga
12883,dienyek,diejek
12884,di3nth0t,dientot
12885,dientotin,dientot
12886,dietot,dientot
12887,diewe,dientot
12888,dikentu,dientot
12889,digebukin,digebuki
12890,digedein,digedekan
12891,digentayangin,digentayangi
12892,digrebek,digerebek
12893,digreja,digereja
12894,dijit,digit
12895,digosipin,digosipkan
12896,dgnakan,digunakan
12897,dgunakan,digunakan
12898,digunakn,digunakan
12899,digusur2,digusur gusur
12900,dihadapai,dihadapi
12901,dihantem,dihantam
12902,diapusin,dihapusi
12903,dihebohin,dihebohkan
12904,dihina2,dihina hina
12905,diitung,dihitung
12906,diizabah,diijabah
12907,diiket,diikat
12908,diikutin,diikuti
12909,diendahkan,diindahkan
12910,diingatin,diingatkan
12911,diingatkn,diingatkan
12912,diingini,diinginkan
12913,diinjek,diinjak
12914,diijinkan,diizinkan
12915,dijagain,dijaga
12916,dijaj,dijajah
12917,dijalanin,dijalani
12918,dijelek2in,dijelek jelekkan
12919,dijualin,dijual
12920,dikobul,dikabul
12921,dikacangin,dikacangi
12922,dikadalin,dikadali
12923,dikasi,dikasih
12924,dikasianin,dikasihani
12925,dianjingin,dikatai anjing
12926,dikawalselia,dikawal selia
12927,dikejar2,dikejar kejar
12928,dikeluarin,dikeluarkan
12929,dibalikin,dikembalikan
12930,dikembalikannyaÃ¢,dikembalikannya
12931,diketekin,diketeki
12932,dikuatirkan,dikhawatirkan
12933,dihianati,dikhianati
12934,dikususkan,dikhususkan
12935,dikibulin,dikibuli
12936,dikipasin,dikipasi
12937,diclaim,diklaim
12938,dicodein,dikode
12939,diconfirm,dikonfirmasi
12940,dikuliahin,dikuliahi
12941,dilabelin,dilabeli
12942,dibriefing,dipengarahan
12943,depermasalahkan,dipermasalahkan
12944,dbdshow,dirtbag dan show
12945,digundrung,dirundung
12946,deskriminasi,diskriminasi
12947,didownload,diunduh
12948,daiping,diving
12949,devisi,divisi
12950,dfact,fact
12951,dich,ih
12952,dih,ih
12953,dadio,jadilah
12954,dancok,jancuk
12955,diiah,jiah
12956,cool,keren
12957,cool2,keren keren
12958,construction,konstruksi
12959,contactnya,kontaknya
12960,croatia,kroasia
12961,cuwat,kuat
12962,deui,lagi
12963,delok,lihat
12964,confusius,membingungkan
12965,countrynya,negaranya
12966,cunihin,penggoda
12967,dawuh,perintah
12968,dawuh2,perintah perintah
12969,cyg,sayang
12970,dikit2,sedikit sedikit
12971,dewek,sendiri
12972,cz,soalnya
12973,contekan,sontekan
12974,demennya,sukanya
12975,cumpah,sumpah
12976,dholim,zalim
12977,dholimi,zalimi
12978,duch,aduh
12979,edvan,advance
12980,ekeu,aku
12981,dm2an,berbalas pesan
12982,djan,bermain disc jockey
12983,ebong,cebong
12984,ebonk,cebong
12985,ebonger,cebonger
12986,dki,daerah khusus ibukota
12987,dki1,daerah khusus ibukota 1
12988,dmai,damai
12989,dlsb,dan lain sebagainya
12990,dsbnya,dan sebagainya
12991,dstnya,dan seterusnya
12992,dpat,dapat
12993,dpatkan,dapatkan
12994,drp,daripada
12995,drprd,daripada
12996,dpp,dasar pengenaan pajak
12997,dsrnya,dasarnya
12998,dtr,datar
12999,dtik,detik
13000,dkm,dewan kemakmuran masjid
13001,dmi,dewan masjid indonesia
13002,dpd,dewan perwakilan daerah
13003,dpr,dewan perwakilan rakyat
13004,dprd,dewan perwakilan rakyat daerah
13005,dprdnya,dewan perwakilan rakyat daerahnya
13006,dpc,dewan pimpinan cabang
13007,dkuburan,di kuburan
13008,dilock,di kunci
13009,dilaut,di laut
13010,diprotect,di lindungi
13011,dilokalisasi,di lokalisasi
13012,diluar,di luar
13013,dimall,di mal
13014,dimalaysia,di malaysia
13015,dimasa,di masa
13016,dimasyarakat,di masyarakat
13017,dimedan,di medan
13018,disosmed,di media sosial
13019,dimeki,di memek
13020,dimonas,di monas
13021,dimuka,di muka
13022,dinegara,di negara
13023,dinegeri,di negeri
13024,diorang,di orang
13025,diorganisasi,di organisasi
13026,diormas,di organisasi masyarakat
13027,dipagi,di pagi
13028,dipantat,di pantat
13029,dipenjara,di penjara
13030,dipenjaranya,di penjaranya
13031,diperkampungan,di perkampungan
13032,diradio,di radio
13033,direzim,di rezim
13034,dirohingnya,di rohingya
13035,dirumah,di rumah
13036,disa,di saat
13037,disaat,di saat
13038,disana,di sana
